GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",589204,595577,601892,605156,610947,617690,622114,624814,627598,629719,633073,636389,638748,640790,641637,644843,648256,654365,663413,674767,682657,688801,696168,702948,708776,714019,717685,722063,726464,730779,736327,741817,748705,756628,766938,777277,787738,798586,807578,814050,817779,822154,826799,829653,830864,835224,838657,843356,849855,856090,858767,861557,870135,870570,873555
 "10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3866,4148,4377,4828,5390,5983,6532,7076,7787,8626,9573,10510,11585,12376,12938,14103,15017,15671,16463,17616,18995,19859,20624,21604,22212,22855,23693,24813,25968,27089,28378,30364,32403,33077,33804,35202,37089,38379,41063,42372,40845,42273,43507,43933,44317,45787,47673,48886,50126,52119,54955,58589,61836,62900,66493
 "11020","Altoona, PA (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",431016,470275,499206,535727,589763,647183,713117,795308,877132,965705,1066410,1140264,1230690,1283286,1332274,1412843,1511074,1596652,1653334,1741978,1886785,1999250,2094942,2235942,2348448,2453654,2546777,2685129,2830831,2974597,3084980,3211969,3249461,3340145,3465447,3632781,3757891,3877352,4070298,4231489,4292327,4451189,4701149,4769117,4739288,4912427,5137245,5190642,5314720,5570818,5722287,6230629,6696942,6648882,6949572
 "11020","Altoona, PA (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",135488,135538,136999,137687,136556,136956,136611,136023,137015,137705,137966,136443,135457,135600,134397,132925,132253,131556,131712,131408,130546,130593,131160,131270,131661,132124,131802,131080,130931,130509,129757,128981,128471,127631,127353,127194,126730,127002,127048,127112,127161,127087,127179,126909,126360,125951,125429,124724,124268,123813,123339,122666,122150,120734,120273
 "11020","Altoona, PA (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3181,3470,3644,3891,4319,4725,5220,5847,6402,7013,7730,8357,9085,9464,9913,10629,11426,12137,12553,13256,14453,15309,15972,17033,17837,18571,19323,20485,21621,22792,23775,24903,25293,26170,27211,28561,29653,30530,32037,33289,33755,35025,36965,37579,37506,39003,40957,41617,42768,44994,46395,50793,54826,55071,57782
 "11100","Amarillo, TX (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",556820,603484,657441,702455,819510,891605,1100596,1204978,1330264,1505057,1692935,1856015,2141406,2354639,2629202,2789468,2925476,2960403,3002155,3051742,3197727,3337861,3422793,3674818,3915683,4145759,4394475,4590838,4899374,5136616,5279994,5524807,6090359,6285446,6551615,6652116,7089726,7581096,8072727,9041151,8788198,9613137,10272599,10513292,10684295,11199233,11253124,11254737,11728782,12196143,12930412,13907781,15088233,15326866,16393337
 "11100","Amarillo, TX (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",170368,155258,158182,160557,161637,163395,165916,169368,173027,175670,181120,185546,188598,192559,195720,198910,199407,200618,200360,201069,199721,198488,200626,203371,207282,211306,217400,219808,222054,223545,226621,229215,230351,232326,235138,237566,240380,242656,244608,246458,249373,252744,256387,258545,259955,262187,263298,264860,266396,266616,267313,269029,269804,270589,272395
 "11100","Amarillo, TX (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3268,3887,4156,4375,5070,5457,6633,7115,7688,8568,9347,10003,11354,12228,13433,14024,14671,14756,14984,15178,16011,16816,17061,18070,18891,19620,20214,20886,22064,22978,23299,24103,26439,27054,27863,28001,29494,31242,33003,36684,35241,38035,40067,40663,41101,42715,42739,42493,44028,45744,48372,51696,55923,56643,60182
 "11180","Ames, IA (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",296995,325305,347900,389057,467046,497093,553277,594919,639474,773900,839189,921185,1017589,1071673,1130680,1233498,1308192,1364676,1430014,1480032,1625923,1704170,1783564,1885384,1928367,2094610,2189046,2360207,2501748,2614495,2706400,2855917,2929393,3040069,3160493,3337463,3421296,3688550,3923613,4112888,4021042,4028327,4334943,4700021,4590972,4785977,4923545,4956035,5065587,5303438,5487208,5764705,6245634,6758803,6979905
 "11180","Ames, IA (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",86911,89447,90583,92099,93216,94131,94174,95325,96351,97669,97790,98682,99140,98350,99213,99117,99559,99338,98466,99056,98820,99582,99832,100389,101141,101060,101721,102679,103856,104151,105536,106403,106509,107971,108300,109126,109384,111210,113093,114285,115645,115953,117558,118375,120509,122558,123658,123978,124449,123806,124565,125347,126440,124836,125156
 "11180","Ames, IA (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3417,3637,3841,4224,5010,5281,5875,6241,6637,7924,8582,9335,10264,10897,11396,12445,13140,13738,14523,14941,16453,17113,17866,18781,19066,20726,21520,22986,24089,25103,25644,26841,27504,28156,29183,30584,31278,33167,34694,35988,34771,34741,36875,39705,38097,39051,39816,39975,40704,42837,44051,45990,49396,54141,55770
