CBSA_Code,year,Employees,Establishment_entries,Job_creation_entries
15620,1998,15003,104,875
15660,1998,19727,96,1466
15700,1998,9400,52,197
15740,1998,12729,73,396
15780,1998,9016,84,414
15820,1998,9796,82,682
15860,1998,8085,113,460
15900,1998,7266,46,223
15940,1998,162511,731,6567
15980,1998,138550,1495,12573
16020,1998,38057,248,1925
16060,1998,17174,128,867
16100,1998,15507,117,744
16140,1998,10350,57,304
16180,1998,20694,260,1551
16220,1998,24304,208,1276
16260,1998,9636,107,596
16300,1998,118681,617,6188
16340,1998,7930,61,343
16380,1998,13973,49,246
16460,1998,15093,95,649
16500,1998,19737,220,983
16540,1998,42677,220,1913
16580,1998,74624,429,4722
16620,1998,102281,579,5015
16660,1998,20291,109,1736
16700,1998,205794,1590,12852
16740,1998,831232,5652,48124
16820,1998,66772,500,3084
16860,1998,203651,1167,10076
16940,1998,24585,256,1488
16980,1998,3939689,20885,194022
17020,1998,49925,433,2464
17060,1998,22529,115,1621
17140,1998,892011,4212,39506
17220,1998,27310,184,2007
17260,1998,8694,57,145
17300,1998,58364,438,3782
17340,1998,9355,101,443
17380,1998,9687,71,416
17410,1998,1040937,4898,42248
17420,1998,39250,191,1479
17500,1998,6255,72,766
17540,1998,19260,135,1016
17580,1998,13544,110,790
17650,1998,8770,143,801
17660,1998,34390,468,2720
17740,1998,12073,68,615
17780,1998,47845,413,3598
17820,1998,200511,1598,14475
17860,1998,64381,458,2616
17900,1998,263614,1667,18360
17980,1998,102354,604,7596
18020,1998,38488,181,1420
18060,1998,27042,168,1645
18100,1998,19254,92,642
18140,1998,774552,3840,48930
18180,1998,53958,376,2428
18220,1998,10066,49,283
18260,1998,37358,246,2082
18300,1998,16678,180,1026
18340,1998,37588,255,2392
18380,1998,7435,58,405
18420,1998,12642,76,441
18460,1998,12610,92,742
18500,1998,28999,128,3884
18580,1998,131630,941,8726
18620,1998,12830,84,379
18660,1998,16370,86,359
18700,1998,27880,175,1181
18740,1998,15054,53,300
18820,1998,16005,91,514
18860,1998,4236,47,188
18880,1998,67098,677,5902
18900,1998,11888,102,468
18980,1998,23038,189,1216
19060,1998,30440,168,2415
19100,1998,2354821,14503,172507
19140,1998,62651,319,7140
19180,1998,29564,128,983
19220,1998,16768,109,868
19260,1998,37772,203,1178
19300,1998,42175,476,2742
19340,1998,161160,776,6048
19430,1998,366274,1594,15840
19460,1998,52649,312,2338
19500,1998,53326,208,1940
19540,1998,13368,57,338
19580,1998,16436,73,942
19620,1998,8526,78,489
19660,1998,137185,1319,10840
19700,1998,3433,51,220
19740,1998,987862,7950,76964
19760,1998,6479,56,426
19780,1998,268346,1297,13335
19810,1998,15555,82,314
19820,1998,1909925,9960,103784
19860,1998,8971,79,479
19940,1998,10647,63,330
19980,1998,12737,71,475
20020,1998,55588,350,2401
20060,1998,16482,86,570
20100,1998,40546,264,1807
20140,1998,18573,97,660
20180,1998,27774,143,913
20220,1998,48077,187,1401
20260,1998,96211,551,4540
20300,1998,6551,48,212
20340,1998,11944,98,393
20420,1998,16726,244,1384
20460,1998,7551,71,358
20500,1998,207931,1134,16312
20540,1998,15875,108,622
20580,1998,7472,94,312
20660,1998,17161,125,513
20700,1998,37676,328,1782
20740,1998,59815,339,2656
20780,1998,26958,381,1850
20820,1998,20383,113,1001
20900,1998,11781,76,359
20940,1998,23766,213,1515
20980,1998,19888,93,503
21020,1998,10167,104,757
21060,1998,33582,222,2233
21120,1998,5599,63,688
21140,1998,108679,394,3907
21180,1998,8256,73,277
21220,1998,18113,118,760
21260,1998,7710,94,417
21300,1998,37080,135,922
21340,1998,197206,1434,13141
21380,1998,15260,75,742
21420,1998,20345,129,857
21460,1998,13562,99,716
21500,1998,116071,559,4125
21540,1998,12814,91,398
21580,1998,6172,85,532
21640,1998,10230,74,628
21660,1998,114595,959,6552
21700,1998,36933,293,1918
21740,1998,6117,73,427
21780,1998,124487,626,7179
21820,1998,20314,210,1295
21860,1998,8309,58,216
21900,1998,15912,115,895
21980,1998,4658,62,415
22020,1998,84930,464,3375
22060,1998,19568,116,850
22100,1998,16329,138,658
22140,1998,30651,261,1898
22180,1998,90589,534,4933
22190,1998,6769,61,286
22220,1998,129343,1040,15468
22260,1998,17236,120,498
22300,1998,38779,142,1053
22340,1998,7164,34,417
22380,1998,36744,367,2193
22420,1998,147503,798,5909
22500,1998,76094,421,3321
22520,1998,47548,288,2418
22540,1998,40996,189,1543
22580,1998,22316,132,778
22620,1998,7720,72,772
22660,1998,90223,884,5236
22700,1998,16675,103,454
22780,1998,5922,84,585
22800,1998,16060,69,376
22820,1998,8177,65,262
22840,1998,21032,128,719
22900,1998,88077,474,4159
23060,1998,197907,864,9946
23140,1998,11131,46,475
23180,1998,18795,125,1447
23190,1998,7239,40,372
23240,1998,6251,82,341
23300,1998,21359,92,622
23340,1998,13590,78,372
23380,1998,24874,104,1112
23420,1998,226751,1684,12313
23460,1998,32922,200,1754
23500,1998,21006,116,1122
23540,1998,81226,624,5478
23580,1998,52401,392,2783
23620,1998,10830,88,848
23660,1998,22567,95,978
23680,1998,9373,52,384
23700,1998,13791,99,822
23780,1998,15671,91,513
23820,1998,19902,182,1156
23900,1998,25094,141,633
23940,1998,13482,120,693
23980,1998,15961,70,539
24020,1998,38738,278,1754
24100,1998,13763,81,341
24140,1998,35210,216,1595
24180,1998,7379,122,772
24220,1998,36156,223,1376
24260,1998,29259,174,1039
24300,1998,39292,383,2625
24330,1998,12654,87,365
24340,1998,461056,2149,20459
24420,1998,16181,194,999
24460,1998,10910,81,485
24500,1998,25759,245,1510
24540,1998,55611,450,2550
24580,1998,135752,616,4444
24600,1998,10821,70,559
24620,1998,21638,112,1057
24640,1998,21261,133,604
24660,1998,331910,1717,15574
24700,1998,10435,54,1085
24740,1998,22152,136,924
24780,1998,50058,329,3019
24820,1998,16628,108,496
24860,1998,344004,1979,18494
24900,1998,13890,86,458
24940,1998,33738,176,2120
24980,1998,13055,79,424
25060,1998,129558,819,6141
25100,1998,6781,54,190
25180,1998,74804,439,3497
25200,1998,10146,161,1186
25220,1998,24936,203,1444
25260,1998,17984,135,1319
25300,1998,13364,75,384
25420,1998,254714,1120,12011
25460,1998,12779,101,341
25500,1998,45345,217,1510
25540,1998,515271,2489,23596
25580,1998,15764,96,361
25620,1998,42987,324,2621
25700,1998,12128,91,1104
25720,1998,17755,286,2227
25740,1998,22919,250,1207
25770,1998,6649,70,378
25775,1998,21193,110,700
25780,1998,15785,79,512
25820,1998,4391,40,181
25840,1998,21457,163,1385
25850,1998,45647,254,2291
25860,1998,159922,735,4841
25880,1998,14501,69,741
25900,1998,38486,308,2361
25940,1998,44668,590,3604
25980,1998,8589,87,711
26020,1998,16117,147,929
26090,1998,37256,181,1009
26140,1998,22492,225,1261
26220,1998,7100,79,216
26300,1998,31169,263,1974
26340,1998,9892,88,440
26380,1998,68188,438,3966
26420,1998,1863055,12135,130352
26460,1998,14874,121,552
26500,1998,9456,56,244
26540,1998,14874,55,383
26580,1998,114751,756,7537
26620,1998,138701,905,7543
26660,1998,9881,95,724
26700,1998,6748,45,176
26740,1998,24592,145,997
26780,1998,18398,86,577
26820,1998,39168,319,2304
26860,1998,24752,150,954
26900,1998,756148,4344,42673
26980,1998,51269,299,2207
27020,1998,14074,103,1078
27060,1998,41048,155,1030
27100,1998,53311,278,2071
27140,1998,225935,1358,12154
27180,1998,71506,431,3951
27220,1998,13660,208,1264
27260,1998,471593,3466,43717
27300,1998,15476,69,426
27340,1998,28432,284,1442
27380,1998,13207,80,677
27420,1998,8598,46,330
27460,1998,46499,225,2168
27500,1998,59432,291,2602
27540,1998,26477,93,1164
27600,1998,13664,111,709
27620,1998,51609,305,1981
27700,1998,6967,50,451
27740,1998,65893,390,3217
27780,1998,49930,253,1310
27860,1998,38175,252,2166
27900,1998,76639,455,3618
27940,1998,9649,97,396
27980,1998,45866,386,3646
28020,1998,113061,527,5750
28060,1998,25088,361,2051
28100,1998,55935,186,1263
28140,1998,822104,4992,47958
28180,1998,19996,172,1380
28260,1998,20899,121,763
28300,1998,28109,151,986
28340,1998,18666,73,479
28380,1998,7782,74,781
28420,1998,58384,466,3734
28450,1998,50681,260,2698
28500,1998,14513,123,766
28540,1998,5069,51,270
28580,1998,32245,452,2574
28620,1998,11556,176,1068
28660,1998,82940,527,4973
28680,1998,7857,103,841
28700,1998,108397,571,4795
28740,1998,46595,409,2868
28780,1998,6022,49,277
28820,1998,26814,128,1105
28860,1998,9407,54,303
28880,1998,176024,1374,9426
28900,1998,17300,172,903
28940,1998,288940,1707,14779
29020,1998,44519,167,1135
29060,1998,20240,155,598
29100,1998,64638,298,2364
29180,1998,128590,967,7586
29200,1998,67865,302,2217
29260,1998,6761,75,269
29300,1998,39766,194,1522
29340,1998,79920,490,4410
29380,1998,14718,122,552
29420,1998,31505,378,2316
29460,1998,152296,1028,9187
29470,1998,5729,53,176
29540,1998,200474,904,7271
29620,1998,164374,903,7880
29660,1998,9128,92,565
29700,1998,47322,475,3674
29740,1998,45626,363,3853
29780,1998,6016,57,231
29820,1998,552770,4015,45640
29860,1998,25098,153,997
29900,1998,16013,54,243
29940,1998,35200,271,1738
29980,1998,11737,81,619
30020,1998,28272,192,1349
30060,1998,10303,81,326
30140,1998,41924,174,1839
30150,1998,86406,626,3758
30180,1998,7400,57,555
30260,1998,14169,62,233
30280,1998,11016,40,171
30300,1998,19766,146,808
30340,1998,41600,236,1546
30380,1998,14922,61,243
30420,1998,9156,42,205
30460,1998,197703,1030,11445
30500,1998,35808,342,2078
30580,1998,9325,66,275
30620,1998,50710,197,2963
30660,1998,8437,52,217
30700,1998,119076,597,4082
30780,1998,270525,1652,18620
30820,1998,9749,74,500
30860,1998,32814,278,1829
30900,1998,15573,56,333
30980,1998,86602,610,5040
31020,1998,33715,239,1250
31060,1998,5437,45,1364
31080,1998,4850209,32186,290954
31140,1998,522372,2811,35990
31180,1998,99053,752,6195
31220,1998,8876,70,259
31260,1998,28653,188,1179
31300,1998,32226,192,1373
31340,1998,89010,497,4898
31380,1998,10191,55,233
31420,1998,89909,539,6129
31500,1998,11105,62,333
31540,1998,253094,1292,10594
31580,1998,15358,105,1223
31620,1998,8545,62,327
31680,1998,6057,62,435
31700,1998,175538,1019,8062
31740,1998,30451,228,1652
31820,1998,32126,131,839
31860,1998,39021,183,1325
31900,1998,52925,243,2504
31930,1998,21500,122,1127
31940,1998,23128,138,702
31980,1998,30187,120,807
32000,1998,15372,72,483
32020,1998,24499,131,1025
32060,1998,20576,144,1070
32100,1998,21099,148,917
32140,1998,14160,51,314
32180,1998,7281,45,237
32260,1998,15804,77,519
32280,1998,11055,45,252
32300,1998,33417,130,819
32340,1998,6294,44,200
32380,1998,23859,121,859
32390,1998,28437,141,675
32460,1998,10278,74,469
32540,1998,9616,73,695
32580,1998,103049,939,5730
32620,1998,15340,102,475
32660,1998,14078,75,449
32700,1998,12556,79,572
32740,1998,28979,177,1251
32780,1998,58149,574,3611
32820,1998,536511,2738,38878
32860,1998,11430,70,269
32900,1998,37911,261,2415
32940,1998,38024,246,1674
33020,1998,8045,59,329
33060,1998,6947,70,389
33100,1998,1852908,18379,142948
33140,1998,39721,235,2202
33180,1998,7814,63,509
33220,1998,37149,163,1465
33260,1998,46663,440,3225
33300,1998,14841,75,536
33340,1998,767695,3415,30077
33380,1998,11096,65,397
33420,1998,6056,72,459
33460,1998,1537519,7990,76071
33500,1998,22845,165,1264
33540,1998,39415,394,2116
33580,1998,9926,83,401
33620,1998,7391,52,423
33660,1998,154914,897,8196
33700,1998,113658,792,5590
33740,1998,77117,460,5406
33780,1998,37699,233,1403
33860,1998,128349,793,7874
33900,1998,9867,66,1699
33910,1998,16615,180,1260
33940,1998,9436,113,593
33980,1998,18057,188,1320
34020,1998,26415,140,1768
34060,1998,34107,216,1955
34100,1998,39058,201,2029
34140,1998,7502,81,347
34180,1998,16934,179,732
34220,1998,11201,101,731
34260,1998,11460,105,507
34300,1998,3832,47,340
34340,1998,35898,155,986
34380,1998,19913,134,1435
34420,1998,20372,121,613
34460,1998,9706,78,870
34500,1998,15687,97,1345
34540,1998,16887,85,501
34580,1998,32927,348,1713
34620,1998,48856,242,2216
34660,1998,11872,68,459
34680,1998,18930,212,1634
34700,1998,19618,80,682
34740,1998,57122,271,1893
34780,1998,24129,147,941
34820,1998,84366,874,5704
34860,1998,17939,138,1307
34880,1998,3860,77,312
34900,1998,48606,350,2570
34940,1998,81557,1037,7796
34980,1998,653962,4039,46603
35020,1998,15662,107,554
35060,1998,9067,67,849
35100,1998,29104,236,1596
35140,1998,11730,58,281
35220,1998,12286,82,494
35300,1998,243441,1188,14410
35340,1998,27988,136,1935
35380,1998,465977,2457,28931
35420,1998,31945,176,1154
35440,1998,13435,168,751
35460,1998,7193,46,204
35580,1998,12627,41,231
35620,1998,7100204,51686,394869
35660,1998,60469,343,2948
35700,1998,10264,122,694
35740,1998,21138,128,666
35820,1998,9840,76,379
35840,1998,228641,1839,17375
35900,1998,22715,87,1158
35940,1998,24160,86,851
35980,1998,106829,481,2737
36020,1998,10600,191,747
36100,1998,69257,587,6678
36180,1998,16574,176,849
36220,1998,40048,287,1804
36260,1998,124802,1061,10855
36340,1998,17074,102,525
36380,1998,6989,71,832
36420,1998,413454,3115,26502
36460,1998,24121,121,838
36500,1998,50903,543,2442
36540,1998,363126,1894,19252
36580,1998,17716,89,613
36620,1998,12633,103,555
36660,1998,17478,147,886
36700,1998,28355,168,1832
36740,1998,742373,5298,61822
36780,1998,80312,270,2616
36820,1998,6574,40,147
36830,1998,4497,41,853
36837,1998,49243,246,2281
36840,1998,7344,60,305
36900,1998,12723,66,391
36940,1998,18519,83,2701
36980,1998,40659,205,2754
37020,1998,16209,113,614
37060,1998,14595,124,944
37100,1998,226467,1823,13943
37120,1998,10184,95,384
37140,1998,43807,284,2437
37220,1998,5451,90,472
37260,1998,13943,146,927
37300,1998,11203,91,749
37340,1998,151478,1300,9519
37420,1998,6961,59,308
37460,1998,57278,472,3787
37500,1998,13364,72,372
37540,1998,10399,70,510
37580,1998,19628,139,743
37620,1998,37169,185,1505
37740,1998,11797,130,987
37800,1998,16394,58,337
37860,1998,126172,984,8996
37900,1998,160069,710,7670
37940,1998,8195,63,396
37950,1998,13264,110,631
37980,1998,2381259,13345,125810
38060,1998,1266180,8658,90924
38100,1998,7666,65,232
38180,1998,6315,68,311
38210,1998,28879,256,1614
38220,1998,26475,131,1040
38240,1998,26654,222,1514
38260,1998,14153,106,546
38300,1998,1051185,5081,42761
38340,1998,53490,364,2310
38380,1998,12781,87,484
38420,1998,13323,95,422
38460,1998,22729,141,760
38500,1998,18516,94,680
38540,1998,23007,163,1348
38620,1998,18449,99,707
38700,1998,13430,59,257
38740,1998,14915,91,433
38820,1998,14995,210,1074
38860,1998,201589,1641,10820
38900,1998,829316,6150,47846
38920,1998,7769,39,142
38940,1998,87182,969,6785
39020,1998,18458,121,563
39040,1998,6210,99,358
39060,1998,42522,212,1583
39150,1998,42230,581,3351
39220,1998,6505,47,284
39300,1998,601532,3510,27792
39340,1998,131246,877,8206
39380,1998,45492,320,2086
39420,1998,7080,79,345
39460,1998,31285,335,2986
39480,1998,22513,133,930
39500,1998,32459,171,2321
39540,1998,79199,348,2659
39580,1998,338347,2752,26324
39660,1998,44470,371,2428
39700,1998,1983,20,88
39740,1998,144201,667,5167
39780,1998,11736,109,493
39820,1998,44888,412,2815
39860,1998,19017,75,736
39900,1998,170384,1376,10752
39940,1998,11239,89,1111
39960,1998,16230,91,469
39980,1998,31612,127,1222
40060,1998,458015,3164,29646
40080,1998,25987,211,1876
40090,1998,30419,382,2081
40100,1998,4699,34,143
40140,1998,799436,5995,50109
40180,1998,9642,147,1356
40220,1998,133134,865,5686
40260,1998,17674,135,1384
40300,1998,15575,72,250
40340,1998,82785,415,2697
40380,1998,437783,1871,14999
40420,1998,144002,643,6044
40460,1998,14014,90,914
40540,1998,14802,98,620
40580,1998,57749,301,2811
40620,1998,11732,108,662
40660,1998,39609,197,1629
40700,1998,30181,259,1358
40740,1998,15607,137,831
40760,1998,5030,97,437
40770,1998,12295,61,839
40780,1998,26670,169,1188
40820,1998,13715,83,559
40860,1998,26107,172,931
40900,1998,563252,4272,38699
40940,1998,4894,42,249
40980,1998,87257,355,3711
41060,1998,76913,403,4762
41100,1998,24746,336,2187
41140,1998,41681,240,4071
41180,1998,1199916,6313,62202
41260,1998,15443,86,411
41400,1998,29508,203,1182
41420,1998,105031,862,8170
41460,1998,27050,134,1574
41500,1998,100036,825,6553
41540,1998,41112,268,1640
41620,1998,449633,2842,26232
41660,1998,34595,247,2158
41700,1998,587704,3983,42481
41740,1998,967142,7511,64164
41760,1998,10010,137,686
41780,1998,44171,219,2028
41820,1998,25209,132,1048
41860,1998,1814101,12814,111909
41940,1998,911679,5076,48453
42020,1998,70191,728,5232
42100,1998,73842,704,4148
42140,1998,44973,517,3521
42200,1998,128071,1040,6888
42220,1998,155382,1385,11830
42300,1998,10028,71,410
42340,1998,113234,803,8721
42380,1998,18251,94,431
42420,1998,12460,115,516
42460,1998,13096,83,381
42540,1998,224845,1074,12453
42580,1998,49323,416,2900
42620,1998,20493,138,906
42660,1998,1295501,10009,71261
42680,1998,37888,381,2244
42700,1998,29377,207,2096
42740,1998,16596,69,376
42780,1998,13162,63,494
42820,1998,15135,82,549
42860,1998,20845,145,734
42900,1998,7533,66,329
42940,1998,26388,289,1994
42980,1998,17817,84,531
43020,1998,11353,76,446
43060,1998,18165,126,676
43100,1998,50189,195,2545
43140,1998,36165,202,3349
43180,1998,11777,74,403
43220,1998,8802,126,799
43260,1998,8548,112,346
43300,1998,37943,244,1294
43320,1998,16110,170,754
43340,1998,140683,817,6828
43380,1998,24012,82,807
43420,1998,22094,254,1974
43460,1998,16402,146,927
43500,1998,7983,70,241
43580,1998,72207,340,2679
43620,1998,102506,597,4100
43640,1998,52285,544,4293
43660,1998,4986,30,334
43700,1998,19939,140,989
43740,1998,21546,124,896
43760,1998,11966,146,666
43780,1998,128353,610,5023
43890,1998,12603,63,342
43900,1998,126346,682,5382
43940,1998,8310,79,401
43980,1998,8500,39,319
44020,1998,7200,76,412
44060,1998,167339,1289,10068
44100,1998,83741,512,4242
44140,1998,169306,783,6860
44180,1998,147580,1070,8269
44220,1998,47768,222,2556
44260,1998,12685,85,592
44300,1998,43091,244,1481
44340,1998,19009,169,1056
44420,1998,38347,252,1548
44460,1998,15109,169,635
44500,1998,10101,82,440
44540,1998,5605,53,376
44580,1998,21572,105,581
44620,1998,24850,129,1004
44660,1998,19959,145,1823
44700,1998,145107,946,9228
44740,1998,8075,47,256
44780,1998,20222,119,551
44860,1998,9671,80,727
44900,1998,5979,29,117
44940,1998,33717,179,1026
44980,1998,35652,165,1740
45000,1998,3962,40,164
45020,1998,4821,31,240
45060,1998,266934,1186,12119
45140,1998,6471,81,379
45180,1998,22576,163,1278
45220,1998,101782,782,6998
45300,1998,959600,7123,72828
45340,1998,8159,116,930
45380,1998,8558,55,393
45460,1998,60652,322,3632
45500,1998,42151,304,1950
45520,1998,6918,66,473
45580,1998,9081,54,261
45620,1998,23454,195,1655
45660,1998,20495,111,977
45700,1998,19545,128,592
45740,1998,9480,38,154
45780,1998,275854,1258,13255
45820,1998,87634,530,4256
45860,1998,33008,263,1461
45880,1998,2488,19,92
45900,1998,53596,443,2659
45940,1998,155288,998,8692
45980,1998,9349,61,437
46020,1998,24038,287,1162
46060,1998,262831,1878,19401
46100,1998,22311,129,1559
46140,1998,362393,2322,19604
46180,1998,60879,299,2138
46220,1998,72049,462,3447
46300,1998,32152,248,6711
46340,1998,72102,494,3729
46380,1998,24235,237,1292
46460,1998,13422,75,590
46500,1998,10452,64,664
46520,1998,305639,1765,14022
46540,1998,100666,471,3813
46620,1998,5744,56,208
46660,1998,37348,305,2591
46700,1998,87649,663,6723
46780,1998,11109,38,231
46820,1998,2638,27,135
46860,1998,5182,62,262
46900,1998,4378,32,112
46980,1998,19784,109,620
47020,1998,30474,214,1596
47080,1998,11348,99,503
47180,1998,14362,90,686
47220,1998,43339,277,2306
47240,1998,4882,104,317
47260,1998,550373,3420,30567
47300,1998,74388,529,3439
47340,1998,12957,58,404
47380,1998,87767,506,6437
47420,1998,8272,53,311
47460,1998,18402,112,507
47540,1998,18698,73,381
47580,1998,32266,239,1623
47620,1998,15568,60,303
47660,1998,9335,92,476
47700,1998,31896,160,1093
47780,1998,8843,62,325
47820,1998,15005,115,758
47900,1998,1996365,12676,132428
47920,1998,9876,52,657
47930,1998,152677,829,7827
47940,1998,69045,317,2683
47980,1998,13335,83,308
48020,1998,31260,180,1373
48060,1998,26254,204,1042
48140,1998,58164,227,1334
48180,1998,16117,132,2640
48200,1998,13847,140,554
48220,1998,9620,102,626
48260,1998,42222,230,1511
48300,1998,29322,297,1171
48460,1998,13592,112,557
48540,1998,52251,301,2453
48580,1998,34956,250,2381
48620,1998,256407,1412,12831
48660,1998,47506,318,2227
48680,1998,5971,59,344
48700,1998,47177,201,1332
48780,1998,8430,67,337
48820,1998,17789,79,413
48900,1998,95323,1076,5847
48940,1998,22268,70,843
48980,1998,31462,168,1228
49010,1998,8878,68,443
49020,1998,41534,245,1765
49080,1998,6717,42,192
49100,1998,24418,84,921
49180,1998,238441,1277,11902
49220,1998,37450,142,820
49260,1998,6242,74,333
49300,1998,42335,213,1924
49340,1998,285669,1463,11377
49380,1998,8183,42,163
49420,1998,58766,477,2370
49460,1998,11196,63,370
49620,1998,151236,663,5779
49660,1998,185805,895,8067
49700,1998,26094,230,1259
49740,1998,30993,258,1988
49780,1998,35028,171,2431
49820,1998,1269,17,69
10100,1999,16819,99,555
10140,1999,17705,195,1011
10180,1999,51540,382,3285
10220,1999,12082,75,1091
10300,1999,30588,172,1072
10420,1999,295447,1438,14774
10460,1999,11340,100,620
10480,1999,6023,62,276
10500,1999,49388,305,3815
10540,1999,34338,231,1219
10580,1999,312867,1568,14181
10620,1999,19020,133,855
10660,1999,11833,53,414
10700,1999,32390,203,1824
10740,1999,268107,1931,17885
10760,1999,27401,64,4412
10780,1999,46872,284,1932
10820,1999,13169,103,566
10860,1999,10737,91,448
10900,1999,280643,1406,12618
10940,1999,12276,70,465
10980,1999,10943,60,235
11020,1999,51871,234,1392
11060,1999,7308,38,266
11100,1999,82175,553,3963
11140,1999,13182,74,499
11180,1999,34886,201,1284
11200,1999,44679,289,1040
11220,1999,14103,79,450
11260,1999,116476,904,4540
11360,1999,21481,164,1250
11380,1999,2832,21,110
11420,1999,21312,85,467
11460,1999,146999,726,7973
11500,1999,40430,255,2169
11540,1999,102751,434,3420
11580,1999,3909,47,176
11620,1999,15670,108,570
11660,1999,7708,49,318
11680,1999,11947,66,681
11700,1999,126018,923,7492
11740,1999,17307,82,370
11820,1999,12439,140,849
11860,1999,5855,26,406
11900,1999,13395,94,768
11940,1999,18601,86,797
11980,1999,12653,133,765
12020,1999,53797,388,2059
12060,1999,2023256,13831,151854
12100,1999,146193,858,5893
12140,1999,22072,74,392
12180,1999,18637,136,743
12220,1999,37389,232,1382
12260,1999,177508,975,8938
12300,1999,41198,281,1304
12380,1999,13978,74,538
12420,1999,517172,3737,39691
12460,1999,9239,39,167
12520,1999,3990,48,182
12540,1999,147244,1061,9172
12580,1999,1016609,5808,56141
12620,1999,55953,387,2190
12660,1999,25489,152,1053
12700,1999,69025,736,3472
12740,1999,24333,163,1208
12780,1999,17556,113,652
12860,1999,17346,113,943
12900,1999,14911,64,233
12940,1999,280040,1576,15790
12980,1999,57833,230,2245
13020,1999,34395,210,1415
13060,1999,8228,71,259
13100,1999,7631,45,224
13140,1999,130215,792,8770
13180,1999,30302,141,923
13220,1999,34634,275,2024
13260,1999,13764,61,325
13300,1999,4360,31,146
13340,1999,18926,70,673
13380,1999,57521,541,3156
13420,1999,12144,83,354
13460,1999,52147,657,3349
13540,1999,15876,128,640
13660,1999,9075,82,259
13700,1999,10222,53,440
13740,1999,60332,498,3313
13780,1999,93995,398,3851
13820,1999,452356,2531,24391
13860,1999,5653,44,394
13900,1999,41088,255,2312
13940,1999,9020,69,401
13980,1999,51595,296,2085
14010,1999,83107,311,2756
