"","year","prim_state","CBSA_Code","CBSA_name","tot_emp_school_psychologists","tot_emp_teachers_preschool","tot_emp_bus_drivers","tot_emp_administrators_elemsec","tot_emp_teachers_kindergarten","tot_emp_teachers_elementary","tot_emp_teachers_secondary","tot_emp_administrators_preschool","tot_emp_teachers_middle_school","tot_emp_teachers_other","a_mean_school_psychologists","a_mean_teachers_preschool","a_mean_bus_drivers","a_mean_administrators_elemsec","a_mean_teachers_kindergarten","a_mean_teachers_elementary","a_mean_teachers_secondary","a_mean_administrators_preschool","a_mean_teachers_middle_school","a_mean_teachers_other","a_median_school_psychologists","a_median_teachers_preschool","a_median_bus_drivers","a_median_administrators_elemsec","a_median_teachers_kindergarten","a_median_teachers_elementary","a_median_teachers_secondary","a_median_administrators_preschool","a_median_teachers_middle_school","a_median_teachers_other","tot_emp_substitute_teachers","a_mean_substitute_teachers","a_median_substitute_teachers"
"38",1999,"CA",44700,"Stockton-Lodi, CA",170,NA,490,360,200,3280,1960,NA,NA,NA,53160,25520,23950,79320,42990,44060,45450,42780,NA,NA,56760,25010,24520,77750,40730,42500,45140,41850,NA,NA,NA,NA,NA
"39",1999,"CA",34900,"Napa, CA",380,330,NA,310,NA,NA,3330,NA,NA,NA,54380,18510,21470,61970,31970,38850,51540,NA,NA,NA,55800,16920,21690,62370,25720,33670,51270,NA,NA,NA,NA,NA,NA
"40",1999,"CA",37100,"Oxnard-Thousand Oaks-Ventura, CA",140,290,940,490,520,3100,2430,NA,NA,NA,57950,22730,24930,73960,47910,49780,45590,NA,NA,NA,60420,18460,25130,76040,43500,45460,43940,NA,NA,NA,NA,NA,NA
"41",1999,"CA",47300,"Visalia, CA",90,210,610,220,250,2280,1330,NA,1280,NA,59570,19760,22810,77240,45310,43660,46130,NA,44250,NA,61720,13870,23600,79690,43530,42770,45500,NA,43930,NA,NA,NA,NA
"42",1999,"CA",49700,"Yuba City, CA",NA,170,NA,90,NA,610,NA,NA,NA,NA,45830,16960,19170,62630,NA,51850,NA,NA,38860,NA,47810,14990,17510,63100,NA,50990,NA,NA,39220,NA,NA,NA,NA
"43",1999,"CO",14500,"Boulder, CO",NA,570,220,NA,160,1380,NA,60,NA,NA,50980,18720,19050,NA,34830,39500,NA,31130,NA,NA,48390,17820,19270,NA,31760,35440,NA,27790,NA,NA,NA,NA,NA
"44",1999,"CO",17820,"Colorado Springs, CO",110,710,570,NA,NA,NA,NA,NA,NA,NA,49930,19360,19820,NA,NA,NA,NA,NA,NA,NA,45360,17710,19620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1999,"CO",19740,"Denver-Aurora-Centennial, CO",NA,3530,2120,1340,NA,7150,5580,350,NA,NA,NA,18560,21390,64180,36590,37620,38840,30170,36930,NA,NA,17640,20740,64410,34440,35230,37800,26420,35270,NA,NA,NA,NA
"46",1999,"CO",22660,"Fort Collins-Loveland, CO",NA,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,16750,21330,NA,NA,39730,NA,NA,NA,NA,NA,16540,21190,NA,NA,35660,NA,NA,NA,NA,NA,NA,NA
"47",1999,"CO",24300,"Grand Junction, CO",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,41420,20170,NA,NA,NA,35660,NA,NA,NA,NA,42410,18590,NA,NA,NA,33860,NA,NA,NA,NA,NA,NA,NA
"48",1999,"CO",24540,"Greeley, CO",NA,230,260,NA,NA,570,550,NA,460,NA,NA,18490,20170,NA,NA,33170,33660,NA,35280,NA,NA,17040,20580,NA,NA,32730,32130,NA,32550,NA,NA,NA,NA
"49",1999,"CO",39380,"Pueblo, CO",NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,17200,19600,NA,NA,NA,NA,34400,NA,NA,NA,17770,20050,NA,NA,NA,NA,28640,NA,NA,NA,NA,NA
"50",1999,"DC",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",890,8210,10450,3000,3300,23740,21130,1150,10500,NA,51290,23040,18230,69440,36890,37090,39660,31800,36650,NA,49770,20830,17200,66470,35910,34700,36500,30980,34140,NA,NA,NA,NA
