CBSA_Code,horizon,year,y_true,y_pred,y_base,abs_err_model,abs_err_base,mape_model
43620,2,2018,59536.04296875,52517.765625,58670.365,7018.27734375,865.677968750002,11.788283187436287
43620,3,2019,62662.0,53554.1015625,58670.365,9107.8984375,3991.635000000002,14.534962876224824
43660,1,2017,41789.37109375,44616.3125,39487.53791666667,2826.94140625,2301.833177083332,6.764737856207642
43660,2,2018,42997.51953125,45603.4765625,39487.53791666667,2605.95703125,3509.981614583332,6.060714803224931
43660,3,2019,44236.0,46224.08984375,39487.53791666667,1988.08984375,4748.462083333332,4.494280323153088
43700,1,2017,36733.79296875,34554.05078125,36729.17416666666,2179.7421875,4.618802083343326,5.933888148589339
43700,2,2018,37550.52734375,34862.6015625,36729.17416666666,2687.92578125,821.3531770833433,7.158157212131362
43700,3,2019,38619.0,35476.34765625,36729.17416666666,3142.65234375,1889.8258333333433,8.137580837800048
43740,1,2017,40207.80859375,36761.78125,39375.66916666667,3446.02734375,832.1394270833334,8.570542549502832
43740,2,2018,40770.453125,37231.95703125,39375.66916666667,3538.49609375,1394.7839583333334,8.679069822700185
43740,3,2019,41606.0,37328.98046875,39375.66916666667,4277.01953125,2230.3308333333334,10.279814284598375
43760,1,2017,44933.71875,39003.61328125,45052.20916666667,5930.10546875,118.49041666666744,13.197450898163195
43760,2,2018,44498.51953125,39296.5546875,45052.20916666667,5201.96484375,553.6896354166674,11.690197558363291
43760,3,2019,45744.0,39998.3515625,45052.20916666667,5745.6484375,691.7908333333326,12.560441669945785
43780,1,2017,46509.0234375,42221.89453125,45508.2075,4287.12890625,1000.8159375000032,9.217843311655752
43780,2,2018,47388.51171875,42369.765625,45508.2075,5018.74609375,1880.3042187500032,10.590638768181138
43780,3,2019,46942.0,42844.4609375,45508.2075,4097.5390625,1433.7925000000032,8.728940101614759
43900,1,2017,42892.08203125,36932.01953125,43217.56166666667,5960.0625,325.4796354166683,13.89548424265733
43900,2,2018,42708.31640625,37004.96875,43217.56166666667,5703.34765625,509.2452604166683,13.354185170866073
43900,3,2019,44458.0,37197.28515625,43217.56166666667,7260.71484375,1240.4383333333317,16.331627252125603
43940,1,2017,50575.6015625,43218.0234375,49484.3425,7357.578125,1091.2590625000012,14.54768287018336
43940,2,2018,51810.0546875,43964.921875,49484.3425,7845.1328125,2325.712187500001,15.142104867132602
43940,3,2019,53561.0,44718.5859375,49484.3425,8842.4140625,4076.657500000001,16.509053345717966
43980,1,2017,47444.81640625,43889.36328125,47555.93833333333,3555.453125,111.12192708333168,7.493870551750377
43980,2,2018,48970.98046875,44266.3203125,47555.93833333333,4704.66015625,1415.0421354166683,9.60703688432826
43980,3,2019,49052.0,45063.41796875,47555.93833333333,3988.58203125,1496.0616666666683,8.131334158138301
44020,1,2017,57643.60546875,51056.53125,57500.5375,6587.07421875,143.06796875000146,11.427241868694374
44020,2,2018,58914.8671875,51894.5625,57500.5375,7020.3046875,1414.3296875000015,11.916015468824654
44020,3,2019,59507.0,52704.7578125,57500.5375,6802.2421875,2006.4625000000015,11.430994987984606
44060,1,2017,43530.55078125,39616.50390625,42944.815,3914.046875,585.7357812499977,8.991494030638144
44060,2,2018,44368.17578125,40191.78125,42944.815,4176.39453125,1423.3607812499977,9.41304089634207
44060,3,2019,45179.0,40539.06640625,42944.815,4639.93359375,2234.1849999999977,10.270111321078378
44100,1,2017,47140.1875,45216.73046875,46974.22083333333,1923.45703125,165.96666666666715,4.080291431276127
44100,2,2018,47730.66796875,45574.2109375,46974.22083333333,2156.45703125,756.4471354166672,4.517969521528309
44100,3,2019,48731.0,46476.83984375,46974.22083333333,2254.16015625,1756.7791666666672,4.625721114383042
44140,1,2017,51382.03125,45986.00390625,51093.121666666666,5396.02734375,288.909583333334,10.501778953610364
44140,2,2018,52207.19921875,46269.82421875,51093.121666666666,5937.375,1114.077552083334,11.372713129318027
44140,3,2019,53506.0,46813.77734375,51093.121666666666,6692.22265625,2412.878333333334,12.507424693025083
44180,1,2017,41139.4296875,39103.28515625,40399.53458333333,2036.14453125,739.8951041666733,4.949374715976367
44180,2,2018,41582.0546875,39097.6875,40399.53458333333,2484.3671875,1182.5201041666733,5.97461382360893
44180,3,2019,42575.0,39618.37890625,40399.53458333333,2956.62109375,2175.4654166666733,6.944500513799177
44220,1,2017,40109.7421875,38117.05078125,39639.8925,1992.69140625,469.84968749999825,4.968098266338426
44220,2,2018,40062.72265625,38335.57421875,39639.8925,1727.1484375,422.83015624999825,4.311110985440116
