CBSA_Code,horizon,year,y_true,y_pred,y_base,abs_err_model,abs_err_base,mape_model,mape_base
18660,2,2018,41225.640625,41516.85546875,39498.192083333335,291.21484375,1727.4485416666648,0.7063925249795421,4.190228497307301
18660,3,2019,41276.0,42044.83984375,39498.192083333335,768.83984375,1777.8079166666648,1.8626801137460358,4.3071225813214316
18700,1,2017,44093.90625,43973.59375,44195.614166666666,120.3125,101.70791666666628,0.2728551635181397,0.23066206947052514
18700,2,2018,45527.0234375,44397.28515625,44195.614166666666,1129.73828125,1331.4092708333337,2.4814674800795378,2.9244373348080064
18700,3,2019,46732.0,44405.0546875,44195.614166666666,2326.9453125,2536.3858333333337,4.979340307497009,5.427513980426242
18740,1,2017,34707.8046875,36060.84765625,34317.07083333333,1353.04296875,390.7338541666686,3.8983824558541094,1.12578095239564
18740,2,2018,35506.76171875,36232.9609375,34317.07083333333,726.19921875,1189.6908854166686,2.0452420429157656,3.350603738070812
18740,3,2019,35676.0,36592.5546875,34317.07083333333,916.5546875,1358.9291666666686,2.569107207926178,3.8090850057918146
18820,1,2017,39643.41015625,41551.37109375,40751.122083333335,1907.9609375,1107.7119270833355,4.812807298815888,2.7941893059076786
18820,2,2018,40237.87109375,41984.50390625,40751.122083333335,1746.6328125,513.2509895833355,4.340768447789138,1.2755421090429642
18820,3,2019,40742.0,42578.96875,40751.122083333335,1836.96875,9.122083333335468,4.508783933040964,0.022389876131101147
18860,1,2017,35810.51953125,36248.3828125,36312.59625,437.86328125,502.0767187500023,1.222722504396444,1.4020369581952745
18860,2,2018,35702.27734375,36624.3125,36312.59625,922.03515625,610.3189062500023,2.582566785228204,1.7094677193097128
18860,3,2019,36526.0,37063.94921875,36312.59625,537.94921875,213.40374999999767,1.4727843693529343,0.5842516289764531
18880,1,2017,52118.56640625,51167.6015625,50791.60875,950.96484375,1326.9576562500006,1.8246181914086164,2.5460363700460857
18880,2,2018,53552.3984375,51653.21875,50791.60875,1899.1796875,2760.7896875000006,3.5463951996774568,5.155305398172878
18880,3,2019,55955.0,52106.296875,50791.60875,3848.703125,5163.391250000001,6.878211285853476,9.22775667947293
18900,1,2017,37386.8671875,37056.1875,36976.35083333333,330.6796875,410.51635416666977,0.8844808682190727,1.0980228755401384
18900,2,2018,37250.125,37395.53125,36976.35083333333,145.40625,273.77416666666977,0.39035103909036806,0.7349617395018039
18900,3,2019,38695.0,37764.01171875,36976.35083333333,930.98828125,1718.6491666666698,2.405965321746374,4.441527759830019
18980,1,2017,38494.796875,38996.47265625,37769.020833333336,501.67578125,725.7760416666642,1.30323010374339,1.8853873785156212
18980,2,2018,38703.265625,39461.05859375,37769.020833333336,757.79296875,934.2447916666642,1.9579561479182142,2.413865539715482
18980,3,2019,39863.0,40015.2890625,37769.020833333336,152.2890625,2093.9791666666642,0.38203111281128316,5.252939233540223
19060,1,2017,40344.47265625,40498.21875,39958.45208333334,153.74609375,386.0205729166628,0.38108341397825707,0.9568115469140142
19060,2,2018,41034.19921875,40727.0390625,39958.45208333334,307.16015625,1075.7471354166628,0.7485467295522917,2.6215867639616404
19060,3,2019,41916.0,41201.5078125,39958.45208333334,714.4921875,1957.5479166666628,1.7045810370737418,4.670168710435623
19100,1,2017,56336.41796875,55371.91015625,54823.145416666666,964.5078125,1513.2725520833337,1.712050299390431,2.6861355525345654
19100,2,2018,58188.8046875,56129.3828125,54823.145416666666,2059.421875,3365.6592708333337,3.5392063577515747,5.784032321866476
19100,3,2019,59432.0,56586.0390625,54823.145416666666,2845.9609375,4608.854583333334,4.78860031212061,7.754836760217658
19140,1,2017,35841.81640625,35132.046875,35890.69125,709.76953125,48.87484375000349,1.9802833740480696,0.1363626307216595
19140,2,2018,36913.05859375,35462.79296875,35890.69125,1450.265625,1022.3673437499965,3.9288687533608,2.7696630479784288
19140,3,2019,37689.0,35826.2109375,35890.69125,1862.7890625,1798.3087499999965,4.942527163096675,4.771441932658122
19180,1,2017,38971.55859375,39173.4375,38463.6725,201.87890625,507.8860937499994,0.5180159930332482,1.3032224321439392
19180,2,2018,39316.29296875,39649.30859375,38463.6725,333.015625,852.6204687499994,0.847016846844152,2.16861866765383
19180,3,2019,39800.0,39774.46875,38463.6725,25.53125,1336.3274999999994,0.06414886934671755,3.357606783918753
19220,1,2017,35462.07421875,35604.10546875,35326.020416666666,142.03125,136.05380208333372,0.4005159120806961,0.38366002294180274
19220,2,2018,35376.4140625,35822.3046875,35326.020416666666,445.890625,50.39364583333372,1.2604178145702187,0.14244984170608227
19220,3,2019,36770.0,36334.4921875,35326.020416666666,435.5078125,1443.9795833333337,1.184410694859618,3.9270589701738947
19260,1,2017,36069.24609375,35235.359375,35620.07541666667,833.88671875,449.17067708333343,2.311905041159879,1.2453009855424737
19260,2,2018,36476.19921875,35537.7265625,35620.07541666667,938.47265625,856.1238020833334,2.5728356472165994,2.3470751350733443
19260,3,2019,37218.0,35902.8203125,35620.07541666667,1315.1796875,1597.9245833333334,3.5337194032447923,4.29341873107879
19300,1,2017,46398.4375,45940.0859375,45794.80458333333,458.3515625,603.6329166666692,0.987859909075389,1.3009768198908402
19300,2,2018,46679.76171875,46477.12109375,45794.80458333333,202.640625,884.9571354166692,0.434108096397076,1.89580474028216
19300,3,2019,47921.0,46847.19921875,45794.80458333333,1073.80078125,2126.195416666669,2.2407728996677365,4.43687614337394
19340,1,2017,48516.23046875,48382.0078125,47798.85333333333,134.22265625,717.3771354166674,0.27665516251603073,1.4786332913448264
19340,2,2018,48631.87890625,48639.75,47798.85333333333,7.87109375,833.0255729166674,0.016185049656773216,1.7129208076092628
19340,3,2019,48428.0,48949.5234375,47798.85333333333,521.5234375,629.1466666666674,1.0769047606754198,1.299138239585648
19430,1,2017,47247.640625,46320.38671875,46287.02708333333,927.25390625,960.613541666673,1.9625401268379288,2.0331460554628906
19430,2,2018,47718.4453125,46764.04296875,46287.02708333333,954.40234375,1431.418229166673,2.000070072483672,2.999716817662977
19430,3,2019,48387.0,47002.3828125,46287.02708333333,1384.6171875,2099.972916666673,2.8615479105952297,4.3399527076823095
19460,1,2017,37739.484375,37255.8203125,37313.0225,483.6640625,426.4618750000009,1.2815863028066925,1.130015107684915
19460,2,2018,38323.43359375,37930.8671875,37313.0225,392.56640625,1010.4110937500009,1.0243508199482405,2.6365359233221755
19460,3,2019,39415.0,37825.796875,37313.0225,1589.203125,2101.977500000001,4.031975453506526,5.332937967777414
19500,1,2017,46672.8125,48155.79296875,46667.380833333336,1482.98046875,5.431666666663659,3.1773968383621245,0.011637753063761682
19500,2,2018,48048.3828125,49002.42578125,46667.380833333336,954.04296875,1381.0019791666637,1.9855880945520668,2.8741903438363017
19500,3,2019,47288.0,49439.05078125,46667.380833333336,2151.05078125,620.6191666666637,4.548830107531605,1.3124242231994003
19540,1,2017,38743.08984375,38708.58984375,37731.73125,34.5,1011.3585937500029,0.08904813771727761,2.610423169211666
19540,2,2018,39230.75390625,38927.28125,37731.73125,303.47265625,1499.022656250003,0.7735580533964077,3.8210396359749947
19540,3,2019,39764.0,39351.22265625,37731.73125,412.77734375,2032.268750000003,1.038067960340751,5.110825746905472
19580,1,2017,40614.67578125,40246.51171875,40492.22583333333,368.1640625,122.44994791666977,0.9064803680394624,0.30149187593212146
19580,2,2018,40916.07421875,40639.37109375,40492.22583333333,276.703125,423.84838541666977,0.6762699752683794,1.0358970001631669
19580,3,2019,41239.0,41312.2890625,40492.22583333333,73.2890625,746.7741666666698,0.17771784597100374,1.8108445080299926
19620,1,2017,37066.58984375,37233.69140625,37085.02333333333,167.1015625,18.43348958333081,0.45081450223598285,0.04973074043506597
19620,2,2018,37646.25,37261.8203125,37085.02333333333,384.4296875,561.2266666666692,1.0211632964768016,1.4907903620321283
19620,3,2019,39619.0,38037.14453125,37085.02333333333,1581.85546875,2533.976666666669,3.9926688425997647,6.395862254640526
19660,1,2017,43569.15234375,42990.8984375,42454.723333333335,578.25390625,1114.4290104166648,1.3272094478395744,2.557839550386098
19660,2,2018,44397.70703125,43356.07421875,42454.723333333335,1041.6328125,1942.9836979166648,2.3461410107657055,4.376315417705308
19660,3,2019,46639.0,43999.25390625,42454.723333333335,2639.74609375,4184.276666666665,5.659954316665096,8.971626035433367
19700,1,2017,29698.130859375,32274.080078125,30684.0,2575.94921875,985.869140625,8.673775568390582,3.319633633823296
19700,2,2018,30345.91796875,32884.4140625,30684.0,2538.49609375,338.08203125,8.365197903597075,1.114093933813579
19700,3,2019,31285.0,33069.91796875,30684.0,1784.91796875,601.0,5.705347510786093,1.9210484257625313
19740,1,2017,61507.79296875,60756.55078125,58721.505,751.2421875,2786.2879687500026,1.2213772454517402,4.529975527109495
19740,2,2018,64705.03125,61265.53125,58721.505,3439.5,5983.526250000003,5.315660828151549,9.24738947560446
19740,3,2019,67590.0,61662.5546875,58721.505,5927.4453125,8868.495000000003,8.769707519602195,13.121016422545779
19760,1,2017,43907.1640625,44426.0,42633.71333333333,518.8359375,1273.4507291666669,1.181665790943229,2.900325621927377
19760,2,2018,44128.87109375,44822.79296875,42633.71333333333,693.921875,1495.1577604166669,1.5724895239799672,3.388162269639588
19760,3,2019,44084.0,45265.80078125,42633.71333333333,1181.80078125,1450.2866666666669,2.6807929889523003,3.2898254846800152
19780,1,2017,53980.76171875,53829.859375,53907.9525,150.90234375,72.80921875000058,0.2795483778761809,0.13487993950388646
19780,2,2018,54199.03125,54093.42578125,53907.9525,105.60546875,291.0787500000006,0.19484752091391028,0.5370552633262183
19780,3,2019,54722.0,54266.2734375,53907.9525,455.7265625,814.0475000000006,0.8328031915864127,1.4876055334232152
19820,1,2017,51434.1953125,50345.90234375,51230.56041666667,1088.29296875,203.63489583333285,2.115893837042886,0.3959134474566263
19820,2,2018,52363.00390625,50711.3984375,51230.56041666667,1651.60546875,1132.4434895833328,3.154145762352932,2.1626786186877816
19820,3,2019,52859.0,51360.1015625,51230.56041666667,1498.8984375,1628.4395833333328,2.835654169582695,3.0807234025104995
19860,1,2017,60049.3359375,76058.515625,60833.160833333335,16009.1796875,783.8248958333352,26.660044507669266,1.305301521817024
19860,2,2018,60684.70703125,77599.2109375,60833.160833333335,16914.50390625,148.45380208333518,27.872761909416443,0.24463132368236273
19860,3,2019,63187.0,77644.4375,60833.160833333335,14457.4375,2353.839166666665,22.880398657948174,3.725195319711796
19940,1,2017,40632.41015625,42509.06640625,41312.596666666665,1876.65625,680.1865104166645,4.618619084575456,1.6739999123873588
19940,2,2018,41370.2421875,42691.2421875,41312.596666666665,1321.0,57.64552083333547,3.193116428984359,0.13934054476175897
19940,3,2019,42159.0,43205.5703125,41312.596666666665,1046.5703125,846.4033333333355,2.482436282880884,2.0076456588940315
19980,1,2017,37739.484375,37633.390625,38283.61708333333,106.09375,544.1327083333308,0.2811213554106008,1.4418127786972095
19980,2,2018,38215.4921875,38310.97265625,38283.61708333333,95.48046875,68.12489583333081,0.24984754424072542,0.1782651273966743
