CBSA_Code,horizon,year,y_true,y_pred,y_base,abs_err_model,abs_err_base,mape_model
12300,2,2018,44752.08203125,42864.85546875,44029.409166666665,1887.2265625,722.6728645833355,4.2170698587434785
12300,3,2019,45897.0,43103.9375,44029.409166666665,2793.0625,1867.5908333333355,6.085501231017278
12380,1,2017,46621.6953125,45034.3046875,46374.39125,1587.390625,247.30406249999942,3.4048324805863417
12380,2,2018,46288.7265625,46110.625,46374.39125,178.1015625,85.66468750000058,0.3847622860385316
12380,3,2019,45498.0,47109.16015625,46374.39125,1611.16015625,876.3912500000006,3.5411669881093677
12420,1,2017,58684.765625,50246.484375,55901.34708333333,8438.28125,2783.4185416666733,14.378997956507558
12420,2,2018,60936.23046875,51178.46484375,55901.34708333333,9757.765625,5034.883385416673,16.013077195518495
12420,3,2019,62444.0,52012.30078125,55901.34708333333,10431.69921875,6542.652916666673,16.70568704559285
12460,1,2017,32573.3203125,34555.4921875,33014.06625,1982.171875,440.7459375000035,6.0852619750874535
12460,2,2018,33318.390625,34508.078125,33014.06625,1189.6875,304.3243749999965,3.5706631613452973
12460,3,2019,33824.0,34702.8125,33014.06625,878.8125,809.9337499999965,2.5981921121097447
12540,1,2017,38162.0,36650.2109375,38538.25166666667,1511.7890625,376.25166666667064,3.961503753734081
12540,2,2018,38254.1875,36850.54296875,38538.25166666667,1403.64453125,284.06416666667064,3.669257205502012
12540,3,2019,39301.0,37151.62890625,38538.25166666667,2149.37109375,762.7483333333294,5.468998482863031
12580,1,2017,60032.640625,56779.04296875,59367.1475,3253.59765625,665.4931250000009,5.419714379338949
12580,2,2018,60527.88671875,57809.91015625,59367.1475,2717.9765625,1160.7392187500009,4.490453425425871
12580,3,2019,61797.0,58755.1015625,59367.1475,3041.8984375,2429.852500000001,4.922404708157354
12620,1,2017,41202.0234375,37263.6484375,40885.364583333336,3938.375,316.65885416666424,9.55869316946092
12620,2,2018,41924.2109375,37515.01953125,40885.364583333336,4409.19140625,1038.8463541666642,10.517052814239387
