CBSA_Code,CBSA_Name,main_state,year,Metro_Micro,total_students,diploma_recipients,population,unemployment,Employees,Establishment_entries,Job_creation_entries,operations_adj,instruction_adj,student_adj,other_adj,per_cap_income_adj,total_expenditure
33910,Monticello,NY,2006,0,11287.0,654.0,,,18379.0,212.0,916.0,39081766.36904762,172673601.1904762,32705754.960317463,4415137.400793651,,248876259.92063493
33910,Monticello,NY,2007,0,11114.0,675.0,,,17956.0,217.0,690.0,38352533.04389773,177581368.0656054,34189544.62132175,4835233.960443801,,254958679.69126868
33910,Monticello,NY,2008,0,10718.0,745.0,,,18122.0,172.0,983.0,40792047.84022294,179406863.44635388,35045032.977241054,4680509.52159777,,259924453.78541562
33910,Monticello,NY,2009,0,10380.0,728.0,,,17331.0,133.0,454.0,39078252.096924506,185675613.6999068,35851618.35973905,5103276.32805219,,265708760.48462257
33910,Monticello,NY,2010,0,10218.0,691.0,,,17143.0,139.0,444.0,39162782.20999541,186249488.30811554,34923391.10499771,5193723.062815222,,265529384.6859239
33910,Monticello,NY,2011,0,10101.0,,,,17785.0,156.0,735.0,40260527.79012895,181641366.82970208,34200585.59359715,5015085.3712761225,,261117565.58470428
33910,Monticello,NY,2012,0,9995.0,,,,18098.0,135.0,612.0,38353886.324041806,175999780.0522648,33941502.17770035,4757623.6933797905,,253052792.24738675
33910,Monticello,NY,2013,0,9842.0,,,,17826.0,138.0,590.0,40338046.781115875,180054502.14592272,34822389.270386264,4647594.420600858,,259862532.61802575
33910,Monticello,NY,2014,0,9898.0,,,,18285.0,143.0,869.0,40259516.68779045,184047825.94000846,34962950.992817916,4805042.670046473,,264075336.2906633
33910,Monticello,NY,2015,0,9726.0,,,,19193.0,122.0,773.0,42055637.130801685,188582526.16033754,36422684.81012658,5029845.569620253,,272090693.67088604
33910,Monticello,NY,2016,0,9573.0,,,,19708.0,141.0,501.0,43589392.083333336,188603254.58333334,36145325.833333336,5026635.833333333,,273364608.3333334
33910,Monticello,NY,2017,0,9478.0,,,,19572.0,145.0,696.0,39186468.38025296,189421433.29253367,35868940.84047328,5193286.821705426,,269670129.3349653
33910,Monticello,NY,2018,0,9523.0,,,,21461.0,162.0,936.0,41219532.457188375,187194599.36280367,36194126.2445241,5401166.069295102,,270009424.13381124
33910,Monticello,NY,2019,0,9554.0,680.0,,,22080.0,172.0,1059.0,42422000.0,191293000.0,37410000.0,5440000.0,,276565000.0
33940,Montrose,CO,1998,0,5813.0,332.0,35671.0,6.3,9436.0,113.0,593.0,8485161.34969325,31207949.69325153,6703104.9079754595,4536714.110429447,32924.12024539877,50932930.06134969
33940,Montrose,CO,1999,0,5882.0,361.0,36529.0,5.5,9998.0,113.0,537.0,8241950.780312125,31333226.290516205,6616582.833133253,5222971.7887154855,33581.72869147659,51414731.692677066
33940,Montrose,CO,2000,0,5842.0,351.0,37374.0,3.6,10426.0,116.0,621.0,7981344.367015099,31907558.65272939,6797878.048780489,4729410.569105691,34604.139372822305,51416191.637630664
33940,Montrose,CO,2001,0,5845.0,360.0,38148.0,4.4,10559.0,138.0,689.0,7907919.774011299,31332640.112994347,6721876.27118644,5810312.9943502825,36214.05423728813,51772749.15254237
33940,Montrose,CO,2002,0,6008.0,387.0,39026.0,5.5,10583.0,137.0,676.0,8300655.91995553,32771956.086714838,6610676.486937187,6228334.630350194,36267.04391328515,53911623.12395775
33940,Montrose,CO,2003,0,5997.0,361.0,39647.0,5.9,10486.0,132.0,657.0,8716034.782608695,35193491.847826086,6666265.7608695645,6535636.413043478,36692.95,57111428.80434782
33940,Montrose,CO,2004,0,6017.0,361.0,40313.0,5.4,10916.0,142.0,826.0,9004321.863419797,36537079.93647432,6608403.388035997,6911615.66966649,37381.74272101641,59061420.85759661
33940,Montrose,CO,2005,0,6198.0,386.0,41282.0,4.7,11574.0,162.0,684.0,8954082.437275985,37067989.7593446,6713925.243215566,6656317.46031746,38835.501280081924,59392314.900153615
33940,Montrose,CO,2006,0,6303.0,340.0,42372.0,3.9,12517.0,196.0,1073.0,9709243.551587302,39627158.234126985,6889694.444444445,6486358.134920635,39091.913194444445,62712454.365079366
33940,Montrose,CO,2007,0,6521.0,376.0,43923.0,3.5,12701.0,181.0,868.0,9876458.755426917,39722927.15870719,7187476.60395562,2725986.4930053065,39741.429329474195,59512849.011095025
33940,Montrose,CO,2008,0,6703.0,364.0,45063.0,5.0,12660.0,168.0,785.0,10579542.963307012,39942881.56061309,7709004.644681838,2590254.064096609,39064.024152345555,60821683.23269855
33940,Montrose,CO,2009,0,6855.0,401.0,45930.0,8.8,11506.0,97.0,516.0,11022743.243243244,40969192.91705499,7866409.133271202,3059821.062441752,37607.91752096925,62918166.35601118
33940,Montrose,CO,2010,0,6867.0,397.0,45624.0,11.5,10822.0,129.0,553.0,11266744.612563044,40975309.49105915,8418989.912883999,2297900.0458505275,35976.20449335167,62958944.06235672
33940,Montrose,CO,2011,0,6758.0,,45326.0,11.4,10633.0,84.0,370.0,10401953.31258337,38325439.30635838,7750586.482881281,3102735.882614495,36587.04313028012,59580714.984437525
33940,Montrose,CO,2012,0,6631.0,,45041.0,10.5,10602.0,111.0,345.0,9586522.648083623,34053983.44947735,7038432.055749129,1726197.7351916374,36862.67421602787,52405135.88850173
33940,Montrose,CO,2013,0,6473.0,,44934.0,9.3,11199.0,116.0,790.0,9440048.927038625,35885793.991416305,7311044.635193133,3652230.0429184544,37143.44291845493,56289117.59656651
33940,Montrose,CO,2014,0,6458.0,,44930.0,6.7,11390.0,107.0,411.0,10410565.69497254,37048953.10519645,7391209.970426701,1542626.1089987326,38928.62357414449,56393354.87959442
33940,Montrose,CO,2015,0,6361.0,,44890.0,4.8,11754.0,109.0,460.0,10892604.219409281,39114547.67932489,7957988.185654008,1512621.9409282699,41128.85949367088,59477762.02531645
33940,Montrose,CO,2016,0,6457.0,,45583.0,4.3,12161.0,113.0,427.0,10733007.5,38333691.666666664,7966120.416666667,1590667.0833333333,40923.71958333333,58623486.666666664
33940,Montrose,CO,2017,0,6551.0,,46154.0,3.3,12528.0,107.0,547.0,10594179.926560588,35871027.33578131,7920336.1893104855,1427162.7906976745,41512.91064871481,55812706.24235006
33940,Montrose,CO,2018,0,6577.0,,46623.0,3.8,12718.0,116.0,472.0,10483598.168060534,38079035.4440462,8621091.995221028,1921568.6977299883,44076.9366786141,59105294.30505775
33940,Montrose,CO,2019,0,6439.0,414.0,47213.0,3.3,13055.0,100.0,655.0,11132000.0,40827000.0,8378000.0,2157000.0,45150.0,62494000.0
33980,Morehead City,NC,1998,0,8597.0,481.0,59224.0,4.6,18057.0,188.0,1320.0,11900246.62576687,51199611.04294478,9111077.300613496,1291049.6932515337,38135.38036809816,73501984.66257668
