CBSA_Code,CBSA_Name,main_state,year,Metro_Micro,total_students,operations_adj,instruction_adj,student_adj,other_adj,per_cap_income_adj
38940,Port St. Lucie,FL,2017,1,59409.0,96429467.15626276,345901278.6617707,87102833.12933497,17185418.604651164,55745.93839249286
38940,Port St. Lucie,FL,2018,1,59819.0,99273921.14695342,351925072.879331,87792369.97212267,17375583.831142973,56346.66706491438
38940,Port St. Lucie,FL,2019,1,60022.0,102697000.0,358623000.0,94344000.0,21431000.0,58172.0
39020,Portsmouth,OH,1998,0,15150.0,25264101.226993863,85588907.97546011,19389276.07361963,4946147.852760736,29661.199999999997
39020,Portsmouth,OH,1999,0,14835.0,26357359.543817524,87785217.28691477,19733102.641056422,5404079.831932773,29859.804921968785
39020,Portsmouth,OH,2000,0,14408.0,27513735.772357725,90870018.58304298,21329121.951219514,5179335.656213705,30064.79616724739
39020,Portsmouth,OH,2001,0,14081.0,28495381.355932202,94179944.0677966,26004834.463276833,5327805.6497175135,30623.325423728813
39020,Portsmouth,OH,2002,0,13836.0,28404162.312395774,92711504.16898276,29979012.784880485,5746498.610339076,30824.713173985543
39020,Portsmouth,OH,2003,0,12683.0,28802381.521739125,97270225.54347825,29384654.891304344,5762977.717391304,31191.230978260865
39020,Portsmouth,OH,2004,0,13049.0,29796021.175224982,97878007.41132873,26950698.78242456,5507905.240868184,32122.904711487558
39020,Portsmouth,OH,2005,0,12986.0,28693912.954429083,95856732.20686124,22601889.912954427,5480594.982078853,31449.921658986175
39020,Portsmouth,OH,2006,0,12960.0,29635071.924603175,94907062.99603175,22390238.591269843,5649245.03968254,31555.35863095238
39020,Portsmouth,OH,2007,0,12818.0,29063209.840810418,95722830.68017367,22367890.979257114,5648095.996140858,32393.6005788712
39020,Portsmouth,OH,2008,0,12834.0,29461913.1444496,95631562.47097072,22513001.393404547,5583119.832791453,32887.08174640036
39020,Portsmouth,OH,2009,0,12921.0,31402486.02050326,96814501.8639329,23362115.097856477,5690695.246971109,33435.217614165886
39020,Portsmouth,OH,2010,0,12414.0,29581945.89637781,96131944.97936726,22906311.78358551,5622820.724438331,33606.78817056396
39020,Portsmouth,OH,2011,0,12336.0,28478317.474433083,93585745.22009782,22645765.228990663,5335705.202312139,33782.18808359271
39020,Portsmouth,OH,2012,0,12228.0,28037905.923344947,89192080.13937281,22256814.024390243,5050520.470383275,33884.70470383275
39020,Portsmouth,OH,2013,0,12039.0,27571703.004291844,86272960.51502146,22476359.22746781,5014134.334763948,34327.45064377682
39020,Portsmouth,OH,2014,0,11916.0,27528530.207013097,85223610.89987326,21153854.66835657,5067548.373468526,36062.666244190965
39020,Portsmouth,OH,2015,0,12024.0,29461602.953586496,87031864.55696201,21353647.257383965,5405303.797468354,38858.84767932489
39020,Portsmouth,OH,2016,0,11815.0,29742171.666666668,92559138.33333333,20984446.666666668,5351587.916666667,37713.619166666664
39020,Portsmouth,OH,2017,0,11417.0,27879750.30599755,94626735.21011832,20977623.827009384,5358119.951040392,38366.475724194206
39020,Portsmouth,OH,2018,0,11479.0,28264473.118279573,95029565.90999602,20925445.240939867,5356360.0159299085,39575.96495420152
39020,Portsmouth,OH,2019,0,11513.0,28955000.0,97617000.0,21289000.0,5404000.0,40557.0
